s.no.,feedstock,activation,material_type,heat_treatment (celsius),SA (m2/g),TPV (cm3/g),MPV(cm3/g),C%,H%,N%,O%,T (celsius),P (bar),CO2_uptake (mmol/g)
,Coconut shell,KOH,Hierarchical,500,2690,1.19,,78.3,2.46,1.7,17.54,25,1,3.96
,Coconut shell,KOH,Hierarchical,500,2599,1.33,,80.7,2.11,1.21,15.98,25,1,3.44
63,Fallen leaves,KOH,Hierarchical,600,1210,0.48,0.39,78.6,0,1.7,17.6,25,1,3.39
,Fallen leaves,KOH,Hierarchical,600,1360,0.51,0.4,81.3,0,1,15.3,25,1,4.09
,Fallen leaves,KOH,Hierarchical,600,1600,0.65,0.54,84.4,0,1.3,12.6,25,1,4.41
,Fallen leaves,KOH,Hierarchical,600,1630,0.66,0.56,85.5,0,2.5,12,25,1,4.2
,Fallen leaves,KOH,Hierarchical,600,2230,1.03,0.89,86.5,0,0.4,11.9,25,1,3.93
,Fallen leaves,KOH,Hierarchical,600,1950,0.88,0.72,84.8,0,0.4,11.9,25,1,4.23
,Fallen leaves,KOH,Hierarchical,600,1210,0.48,0.39,78.6,0,1.7,17.6,25,0.15,1.2
,Fallen leaves,KOH,Hierarchical,600,1360,0.51,0.4,81.3,0,1,15.3,25,0.15,1.55
,Fallen leaves,KOH,Hierarchical,600,1600,0.65,0.54,84.4,0,1.3,12.6,25,0.15,1.41
,Fallen leaves,KOH,Hierarchical,600,1630,0.66,0.56,85.5,0,2.5,12,25,0.15,1.14
,Fallen leaves,KOH,Hierarchical,600,2230,1.03,0.89,86.5,0,0.4,11.9,25,0.15,0.98
,Fallen leaves,KOH,Hierarchical,600,1950,0.88,0.72,84.8,0,0.4,11.9,25,0.15,1.14
64,Human hair,KOH,Hierarchical,,1230,0.9,,66.41,0,8.33,25.26,0,1,5.14
,Human hair,KOH,Hierarchical,,2380,1.64,,77.93,0,4.94,17.13,0,1,5.45
,Human hair,KOH,Hierarchical,,2700,1.33,,80.95,0,3.45,15.6,0,1,4.27
65,Polyacrylonitrile fiber,KOH,Hierarchical,300,855,0.45,0.31,64.76,3.87,13.05,18.32,25,1,3.33
,Polyacrylonitrile fiber,KOH,Hierarchical,300,1338,0.68,0.49,66.54,4.01,11.32,18.13,25,1,3.57
,Polyacrylonitrile fiber,KOH,Hierarchical,300,1655,0.78,0.63,68.54,4.92,9.84,16.7,25,1,3.77
,Polyacrylonitrile fiber,KOH,Hierarchical,300,1980,0.92,0.76,73.15,4.82,7.38,14.65,25,1,3.95
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2362,1.22,1.02,75.36,4.35,6.21,14.08,25,1,3.74
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2430,1.37,1.16,74.98,3.98,5.36,15.68,25,1,3.51
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2406,1.38,1.08,87.07,3.16,3.89,5.88,25,1,3.54
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2672,1.58,1.31,88.06,3.87,3.04,5.03,25,1,3.16
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2644,1.62,1.32,87.68,3.24,2.65,6.43,25,1,3.15
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2112,1.26,0.92,92.23,3.56,2.83,1.38,25,1,3.02
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2747,1.62,1.19,91.56,2.45,2.36,3.63,25,1,3.46
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2436,1.57,1.15,94.33,1.78,1.84,2.05,25,1,3.23
,Polyacrylonitrile fiber,KOH,Hierarchical,300,855,0.45,0.31,64.76,3.87,13.05,18.32,0,1,4.19
,Polyacrylonitrile fiber,KOH,Hierarchical,300,1338,0.68,0.49,66.54,4.01,11.32,18.13,0,1,5.03
,Polyacrylonitrile fiber,KOH,Hierarchical,300,1655,0.78,0.63,68.54,4.92,9.84,16.7,0,1,5.61
,Polyacrylonitrile fiber,KOH,Hierarchical,300,1980,0.92,0.76,73.15,4.82,7.38,14.65,0,1,6.01
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2362,1.22,1.02,75.36,4.35,6.21,14.08,0,1,6.37
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2430,1.37,1.16,74.98,3.98,5.36,15.68,0,1,5.23
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2406,1.38,1.08,87.07,3.16,3.89,5.88,0,1,5.76
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2672,1.58,1.31,88.06,3.87,3.04,5.03,0,1,5.1
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2644,1.62,1.32,87.68,3.24,2.65,6.43,0,1,5.47
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2112,1.26,0.92,92.23,3.56,2.83,1.38,0,1,5.72
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2747,1.62,1.19,91.56,2.45,2.36,3.63,0,1,4.94
,Polyacrylonitrile fiber,KOH,Hierarchical,300,2436,1.57,1.15,94.33,1.78,1.84,2.05,0,1,4.52
66,Potassium bitartrate,KC4H5O6,Hierarchical,700,557,0.24,0.21,73.05,2.2,0.6,24.15,25,1,2.68
,Potassium bitartrate,KC4H5O6,Hierarchical,700,744,0.31,0.27,74.89,2.35,0.64,22.12,25,1,3.29
,Potassium bitartrate,KC4H5O6,Hierarchical,700,947,0.4,0.36,76.74,2.5,0.66,20.1,25,1,3.55
,Potassium bitartrate,KC4H5O6,Hierarchical,700,1156,0.56,0.46,78.87,1.92,0.78,18.43,25,1,3.38
,Potassium bitartrate,KC4H5O6,Hierarchical,700,1217,0.81,0.31,83.69,2.01,0.82,13.48,25,1,2.75
,Potassium bitartrate,KC4H5O6,Hierarchical,700,557,0.24,0.21,73.05,2.2,0.6,24.15,0,1,3.58
,Potassium bitartrate,KC4H5O6,Hierarchical,700,744,0.31,0.27,74.89,2.35,0.64,22.12,0,1,4.5
,Potassium bitartrate,KC4H5O6,Hierarchical,700,947,0.4,0.36,76.74,2.5,0.66,20.1,0,1,5
,Potassium bitartrate,KC4H5O6,Hierarchical,700,1156,0.56,0.46,78.87,1.92,0.78,18.43,0,1,5.16
,Potassium bitartrate,KC4H5O6,Hierarchical,700,1217,0.81,0.31,83.69,2.01,0.82,13.48,0,1,4.35
67,Cotton stalk crop-residue,KOH,Microporous,,1897,0.744,0.706,65.56,3.37,1.87,26.32,25,1,3.49
,Cotton stalk crop-residue,KOH,Microporous,,1787,0.806,0.622,73,2.27,2.04,20.47,25,1,2.88
,Cotton stalk crop-residue,KOH,Microporous,,1706,0.777,0.598,66.16,1.98,1.33,29.05,25,1,3.47
,Cotton stalk crop-residue,KOH,Microporous,,1853,0.785,0.646,61.64,2.61,2.74,30.29,25,1,3.74
,Cotton stalk crop-residue,KOH,Microporous,,2087,0.872,0.768,59.55,1.53,2.27,34,25,1,3.85
,Cotton stalk crop-residue,KOH,Microporous,,2438,1.212,0.727,64.74,2.47,0.31,31.97,25,1,3.22
,Cotton stalk crop-residue,KOH,Microporous,,1897,0.744,0.706,65.56,3.37,1.87,26.32,0,1,4.88
,Cotton stalk crop-residue,KOH,Microporous,,1787,0.806,0.622,73,2.27,2.04,20.47,0,1,5.96
,Cotton stalk crop-residue,KOH,Microporous,,1706,0.777,0.598,66.16,1.98,1.33,29.05,0,1,5.85
,Cotton stalk crop-residue,KOH,Microporous,,1853,0.785,0.646,61.64,2.61,2.74,30.29,0,1,5.8
,Cotton stalk crop-residue,KOH,Microporous,,2087,0.872,0.768,59.55,1.53,2.27,34,0,1,6.23
,Cotton stalk crop-residue,KOH,Microporous,,2438,1.212,0.727,64.74,2.47,0.31,31.97,0,1,5.22
